"All parcel data in this report is for use by the Washoe County Assessor for assessment purposes only. The summary data in this report may not be a complete representation of the parcel or of the improvements thereon. Building information, including unit counts and number of permitted units, should be verified with the appropriate building and planning agencies. Zoning information should be verified with the appropriate planning agency. All parcels are reappraised each year. ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
APN,Add Rec,Situs,Sales Date,Sale Price,Sale Verf,RecDoc,Subdivision,Year Blt,Avg Yr Blt,BldgType,Stories,Bldg SF,Grade,Beds,Full Baths,Half Baths,Heat Type,Exterior Walls,Roof Type,Gar Type,Gar Area,Bsmt Type,Bsmt Area,LUC at Sale,Zoning (codes should be verified with the zoning authority) ,Acres,Owner1,Addl Owner,Mailing1,Mailing2,City,State,Zip,PriorOwner,PriorPID,LegalDesc,TaxDist,Total Units
001-112-12,,2722 HARDING WAY,2005-09-14 00:00:00,362000,2D,03276703,SEVERN HEIGHTS 1,1973,1973,Sgl Fam Res ,ONE,1320,FAIR,5,3,0,FA,HARDBOARD,COMP SHINGLE,,0,,0,20,SF6 ,0.151999995112419,,,,,,,,,,SEVERN HEIGHTS 1 LT 21,1005,1
001-113-08,,2751 HARDING WAY,2005-02-15 00:00:00,329000,2D,03170509,HARDING WAY,2004,2004,Sgl Fam Res ,ONE,1699,AVERAGE,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,724,,0,20,SF6 ,0.19554637372493744,,,,,,,,,001-113-03,HARDING WAY LT 5,1005,1
001-121-04,,3940 REGAL DR,2005-04-14 00:00:00,415000,2D,03198449,KINGS VIEW EST 1,1992,1992,Sgl Fam Res ,TWO,2496,FAIR/AVG,5,3,0,FA,HARDBOARD,COMP SHINGLE,GARB,440,,0,20,SF6 ,0.155000001192093,,,,,,,,,,KINGS VIEW EST 1 LT 4 BLK B,1005,1
001-121-13,,3952 GLENVIEW TER,2005-04-21 00:00:00,385000,2D,03201912,KINGS VIEW EST 1,1993,1993,Sgl Fam Res ,TWO,1837,FAIR/AVG,4,2,1,FA,HARDBOARD,COMP SHINGLE,GARA,400,,0,20,SF6 ,0.1459999978542328,,,,,,,,,,KINGS VIEW EST 1 LT 13 BLK B,1005,1
001-121-14,,3948 GLENVIEW TER,2005-02-18 00:00:00,399000,2D,03171745,KINGS VIEW EST 1,1992,1992,Sgl Fam Res ,TWO,2178,FAIR/AVG,3,2,1,FA,HARDBOARD,COMP SHINGLE,GARB,418,,0,20,SF6 ,0.23999999463558197,,,,,,,,,,KINGS VIEW EST 1 LT 14 BLK B,1005,1
001-123-02,,3935 REGAL DR,2005-06-06 00:00:00,400000,2D,03225584,KINGS VIEW EST 1,1992,1992,Sgl Fam Res ,TWO,2496,FAIR/AVG,5,3,0,FA,HARDBOARD,COMP SHINGLE,GARB,440,,0,20,SF6 ,0.179000005125999,,,,,,,,,,KINGS VIEW EST 1 LT 28 BLK A,1005,1
001-123-02,,3935 REGAL DR,2005-12-29 00:00:00,489000,2D,03330401,KINGS VIEW EST 1,1992,1992,Sgl Fam Res ,TWO,2496,FAIR/AVG,5,3,0,FA,HARDBOARD,COMP SHINGLE,GARB,440,,0,20,SF6 ,0.179000005125999,,,,,,,,,,KINGS VIEW EST 1 LT 28 BLK A,1005,1
001-123-04,,3943 REGAL DR,2005-01-13 00:00:00,328000,2D,03156121,KINGS VIEW EST 1,1992,1992,Sgl Fam Res ,ONE,1544,FAIR/AVG,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,400,,0,20,SF6 ,0.179000005125999,,,,,,,,,,KINGS VIEW EST 1 LT 26 BLK A,1005,1
001-123-35,,3927 REGAL DR,2005-06-28 00:00:00,400000,2D,03237854,KINGS VIEW EST 2,1993,1993,Sgl Fam Res ,TWO,2496,FAIR/AVG,5,3,0,FA,HARDBOARD,COMP SHINGLE,GARB,440,,0,20,SF6 ,0.179000005125999,,,,,,,,,001-010-49,KINGS VIEW EST 2 LT 32 BLK A,1005,1
001-123-37,,2993 REGAL CT,2005-10-27 00:00:00,400000,2D,03298932,KINGS VIEW EST 1,1991,1991,Sgl Fam Res ,TWO,2178,FAIR/AVG,3,2,1,FA,HARDBOARD,COMP SHINGLE,GARB,418,,0,20,SF6 ,0.28600001335144,,,,,,,,,001-123-36,KINGS VIEW EST 1 LT 11 BLK A (RS 3433),1005,1
