"All parcel data in this report is for use by the Washoe County Assessor for assessment purposes only. The summary data in this report may not be a complete representation of the parcel or of the improvements thereon. Building information, including unit counts and number of permitted units, should be verified with the appropriate building and planning agencies. Zoning information should be verified with the appropriate planning agency. All parcels are reappraised each year. ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
APN,Add Rec,Situs,Sales Date,Sale Price,Sale Verf,RecDoc,Subdivision,Year Blt,Avg Yr Blt,BldgType,Stories,Bldg SF,Grade,Beds,Full Baths,Half Baths,Heat Type,Exterior Walls,Roof Type,Gar Type,Gar Area,Bsmt Type,Bsmt Area,LUC at Sale,Zoning (codes should be verified with the zoning authority) ,Acres,Owner1,Addl Owner,Mailing1,Mailing2,City,State,Zip,PriorOwner,PriorPID,LegalDesc,TaxDist,Total Units
001-132-20,,1445 SURF WAY,2005-09-23 00:00:00,289900,2D,03282101,SIERRA HEIGHTS RENO 5A,1965,1965,Sgl Fam Res ,ONE,1296,FAIR,4,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,483,,0,20,SF6 ,0.143999993801117,,,,,,,,,,SIERRA HEIGHTS RENO 5A LT 29 BLK D,1005,1
001-133-09,,1472 HELM CIR,2005-09-14 00:00:00,329900,2D,03276878,SIERRA HEIGHTS RENO 5A,1965,1971,Sgl Fam Res ,ONE,1692,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,420,,0,20,SF6 ,0.222000002861023,,,,,,,,,,SIERRA HEIGHTS RENO 5A LT 9 BLK E,1005,1
001-133-14,,3370 KINGS ROW,2005-01-12 00:00:00,245000,2D,03155669,SIERRA HEIGHTS RENO 5A,1965,1965,Sgl Fam Res ,ONE,1296,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,483,,0,20,SF6 ,0.1599999964237213,,,,,,,,,,SIERRA HEIGHTS RENO 5A LT 14 BLK E,1005,1
001-133-14,,3370 KINGS ROW,2005-06-27 00:00:00,290400,2D,03236937,SIERRA HEIGHTS RENO 5A,1965,1965,Sgl Fam Res ,ONE,1296,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,483,,0,20,SF6 ,0.1599999964237213,,,,,,,,,,SIERRA HEIGHTS RENO 5A LT 14 BLK E,1005,1
001-134-01,,1390 TIOGA WAY,2005-07-11 00:00:00,317000,2D,03243312,SIERRA HEIGHTS RENO 5A,1966,1966,Sgl Fam Res ,SPLIT,1695,FAIR,3,3,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,277,,0,20,SF6 ,0.162000000476837,,,,,,,,,,SIERRA HEIGHTS RENO 5A LT 1 BLK J,1005,1
001-135-02,,3285 KINGS ROW,2005-05-19 00:00:00,312000,2D,03216906,SIERRA HEIGHTS RENO 5A,1966,1966,Sgl Fam Res ,SPLIT,1695,FAIR,3,3,0,FA,SIDING,COMP SHINGLE,,0,,0,20,SF6 ,0.180000007152557,,,,,,,,,,SIERRA HEIGHTS RENO 5A LT 2 BLK F,1005,1
001-135-24,,1395 RAYBURN DR,2005-03-22 00:00:00,313500,2D,03186144,SIERRA HEIGHTS RENO 5A,1966,1966,Sgl Fam Res ,SPLIT,1669,FAIR,3,3,0,FA,HARDBOARD,COMP SHINGLE,,0,,0,20,SF6 ,0.209000006318092,,,,,,,,,,SIERRA HEIGHTS RENO 5A LT 31 BLK F,1005,1
001-136-07,,1480 RAYBURN DR,2005-06-21 00:00:00,282500,2D,03233458,SIERRA HEIGHTS RENO 5A,1966,1966,Sgl Fam Res ,ONE,1237,FAIR,3,2,0,FA/AC,ASPH SHINGLE,COMP SHINGLE,GARA,432,,0,20,SF6 ,0.172000005841255,,,,,,,,,,SIERRA HEIGHTS RENO 5A LT 7 BLK G,1005,1
001-142-04,,3670 POMO DR,2005-01-18 00:00:00,297500,2D,03157599,NORTHRIDGE HILLS,1972,1972,Sgl Fam Res ,SPLIT,1668,FAIR,3,2,1,FA,SIDING,COMP SHINGLE,GARB,572,,0,20,SF6 ,0.142000004649162,,,,,,,,,,NORTHRIDGE HILLS LT 27,1005,1
001-143-04,,3575 BRYAN ST,2005-03-15 00:00:00,304900,2D,03183059,NORTHRIDGE HILLS,1972,1972,Sgl Fam Res ,TWO,1612,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARB,484,,0,20,SF6 ,0.15399999916553497,,,,,,,,,,NORTHRIDGE HILLS LT 4,1005,1
001-144-10,,LAS BRISAS BLVD,2005-10-14 00:00:00,812145,1G,03292517,FR NW4 SW4,0,0,,,0,,0,0,0,,,,,0,,0,13,,1.53100001811981,,,,,,,,,001-144-02,FR NW4 SW4 SEC 4 TWP 19 RGE 19,1005,0
001-153-02,,3655 RENEE WAY,2005-06-16 00:00:00,312000,2D,03231005,NORTHRIDGE HILLS,1972,1972,Sgl Fam Res ,TWO,1612,FAIR,3,2,0,FA,PLYWOOD,COMP SHINGLE,GARB,484,,0,20,SF6 ,0.1589999943971634,,,,,,,,,,NORTHRIDGE HILLS LT 32,1005,1
001-153-16,,3685 MEEKS WAY,2005-08-16 00:00:00,350000,2D,03262049,NORTHRIDGE HILLS,1972,1972,Sgl Fam Res ,SPLIT,1668,FAIR,3,2,1,FA,SIDING,COMP SHINGLE,GARB,572,,0,20,SF6 ,0.13699999451637268,,,,,,,,,,NORTHRIDGE HILLS LT 46,1005,1
001-161-08,,3986 BELMORE WAY,2005-03-18 00:00:00,372000,2D,03185070,SIERRA HILLS ,1983,1983,Sgl Fam Res ,ONE,1338,FAIR,4,3,0,FA,HARDBOARD,COMP SHINGLE,GARA,440,Daylight,1320,20,SF6 ,0.167999997735023,,,,,,,,,,SIERRA HILLS LT 17 BLK A,1005,1
001-161-19,,2938 ASPENDALE DR,2005-10-12 00:00:00,433000,2D,03291160,KINGS VIEW EST 2,1994,1994,Sgl Fam Res ,TWO,2496,FAIR/AVG,5,3,0,FA,HARDBOARD,COMP SHINGLE,GARB,440,,0,20,SF6 ,0.35899999737739563,,,,,,,,,001-010-49,KINGS VIEW EST 2 LT 15 BLK B,1005,1
001-172-05,,3979 BUCKINGHAM SQ,2005-08-15 00:00:00,320000,2D,03261400,SIERRA HILLS ,1980,1980,Sgl Fam Res ,ONE,1320,FAIR,4,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,480,,0,20,SF6 ,0.140000000596046,,,,,,,,,,SIERRA HILLS LT 122 BLK H,1005,1
001-172-07,,3980 KENTWOOD CT,2005-06-02 00:00:00,275000,2D,03224197,SIERRA HILLS ,1980,1980,Sgl Fam Res ,ONE,1320,FAIR,4,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,480,,0,20,SF6 ,0.203999996185303,,,,,,,,,,SIERRA HILLS LT 120 BLK H,1005,1
001-173-05,,3969 KENTWOOD CT,2005-01-12 00:00:00,272000,2D,03155671,SIERRA HILLS ,1980,1980,Sgl Fam Res ,ONE,1160,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,420,,0,20,SF6 ,0.156000003218651,,,,,,,,,,SIERRA HILLS LT 91 BLK G,1005,1
001-173-14,,3916 KINGS ROW,2005-06-30 00:00:00,300000,2D,03239668,SIERRA HILLS,1983,1983,Sgl Fam Res ,ONE,1320,FAIR,4,2,0,FA,HARDBOARD,WOOD SHAKE,GARA,440,,0,20,SF6 ,0.1599999964237213,,,,,,,,,,SIERRA HILLS LT 82 BLK G,1005,1
001-175-02,,3935 BELMORE WAY,2005-08-25 00:00:00,305000,2D,03267903,SIERRA HILLS,1983,1983,Sgl Fam Res ,ONE,1320,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,440,,0,20,SF6 ,0.18799999356269836,,,,,,,,,,SIERRA HILLS LT 74 BLK F,1005,1
001-175-09,,3913 KINGS ROW,2005-03-22 00:00:00,282000,2D,03186346,SIERRA HILLS,1983,1983,Sgl Fam Res ,ONE,1320,FAIR,3,2,0,FA,HARDBOARD,WOOD SHAKE,GARA,440,,0,20,SF6 ,0.226999998092651,,,,,,,,,,SIERRA HILLS LT 67 BLK F,1005,1
001-183-09,,3810 BELVEDERE DR,2005-10-18 00:00:00,375000,2D,03293997,SIERRA HILLS,1980,1980,Sgl Fam Res ,TWO,2598,FAIR,3,2,1,FA/AC,HARDBOARD,WOOD SHAKE,GARB,428,,0,20,SF6 ,0.180999994277954,,,,,,,,,,SIERRA HILLS LT 56 BLK E,1005,1
001-183-11,,3834 BELVEDERE DR,2005-05-13 00:00:00,349181,2D,03213835,SIERRA HILLS,1980,1980,Sgl Fam Res ,TWO,2077,FAIR,3,2,1,FA/AC,HARDBOARD,COMP SHINGLE,GARB,428,,0,20,SF6 ,0.14499999582767487,,,,,,,,,,SIERRA HILLS LT 58 BLK E,1005,1
001-183-14,,3870 BELVEDERE DR,2005-08-31 00:00:00,295000,2D,03271321,SIERRA HILLS,1980,1980,Sgl Fam Res ,ONE,1338,FAIR,3,2,0,FA,HARDBOARD,WOOD SHAKE,GARA,380,,0,20,SF6 ,0.14499999582767487,,,,,,,,,,SIERRA HILLS LT 61 BLK E,1005,1
001-184-05,,3931 KENTWOOD CT,2005-09-28 00:00:00,280000,2D,03283993,SIERRA HILLS,1980,1980,Sgl Fam Res ,ONE,1160,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,420,,0,20,SF6 ,0.1459999978542328,,,,,,,,,,SIERRA HILLS LT 99 BLK G,1005,1
001-185-08,,3924 KENTWOOD CT,2005-05-19 00:00:00,310000,2D,03216843,SIERRA HILLS,1980,1980,Sgl Fam Res ,ONE,1338,FAIR,4,2,0,FA,HARDBOARD,COMP SHINGLE,,0,,0,20,SF6 ,0.20100000500679,,,,,,,,,,SIERRA HILLS LT 106 BLK H,1005,1
001-200-05,,3870 W 7TH ST,2005-05-12 00:00:00,293000,2D,03212847,PM 1541,1984,1984,Sgl Fam Res ,ONE,1516,FAIR,3,2,0,FA,PLYWOOD,COMP SHINGLE,GARA,552,,0,20,SF6 ,0.192814514040947,,,,,,,,,001-200-05,PM 1541 LT B,1005,1
001-200-27,,3916 W 7TH ST,2005-03-29 00:00:00,289000,2D,03189960,PM 1868,1986,1986,Sgl Fam Res ,ONE,1336,FAIR,3,2,0,FA,PLYWOOD,COMP SHINGLE,GARA,462,,0,20,SF6 ,0.157759413123131,,,,,,,,,001-200-27,PM 1868 LT 1,1005,1
001-233-16,,1355 MARNE DR,2005-07-27 00:00:00,284000,2D,03251845,SIERRA HIEGHTS RENO 3B,1964,1964,Sgl Fam Res ,ONE,1296,FAIR,4,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,483,,0,20,SF6 ,0.13699999451637268,,,,,,,,,,SIERRA HEIGHTS RENO 3B LT 127 BLK 4,1005,1
001-242-19,,2865 VAN BUREN DR,2005-10-13 00:00:00,290000,2D,03291577,SIERRA HEIGHTS RENO 3C,1965,1965,Sgl Fam Res ,SPLIT,1669,FAIR,3,3,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,277,,0,20,SF6 ,0.164000004529953,,,,,,,,,,SIERRA HEIGHTS RENO UT 3C  LT 247 BLK 3,1005,1
001-243-05,,1435 EXETER WAY,2005-12-12 00:00:00,310000,2D,03322009,SIERRA HEIGHTS RENO 3C,1965,1971,Sgl Fam Res ,ONE,1438,FAIR,3,2,0,FA,SIDING,COMP SHINGLE,GARA,390,,0,20,SF6 ,0.1379999965429306,,,,,,,,,,SIERRA HEIGHTS RENO 3C LT 235 BLK 4,1005,1
001-250-02,,826 WYOMING AVE,2005-05-24 00:00:00,245000,2D,03219160,NORTHWEST VILLAS 1,1982,1982,Sgl Fam Res ,ONE,1236,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,380,,0,20,MF14,0.140000000596046,,,,,,,,,,NORTHWEST VILLAS 1 LT 2 BLK A,1005,1
001-250-02,,826 WYOMING AVE,2005-12-09 00:00:00,315000,2D,03321223,NORTHWEST VILLAS 1,1982,1982,Sgl Fam Res ,ONE,1236,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,380,,0,20,MF14,0.140000000596046,,,,,,,,,,NORTHWEST VILLAS 1 LT 2 BLK A,1005,1
001-250-02,,826 WYOMING AVE,2005-12-09 00:00:00,255323,2D,03321222,NORTHWEST VILLAS 1,1982,1982,Sgl Fam Res ,ONE,1236,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,380,,0,20,MF14,0.140000000596046,,,,,,,,,,NORTHWEST VILLAS 1 LT 2 BLK A,1005,1
001-292-07,,1240 ST ALBERTS DR,2005-09-28 00:00:00,325000,2D,03283972,SIERRA HEIGHTS RENO 7,1971,1971,Sgl Fam Res ,SPLIT,1854,FAIR,3,2,1,FA,ASPH SHINGLE,COMP SHINGLE,GARB,528,,0,20,SF6 ,0.207000002264977,,,,,,,,,,SIERRA HEIGHTS RENO 7 LT 21 BLK C,1005,1
001-292-08,,1244 ST ALBERTS DR,2005-09-20 00:00:00,442000,2D,03279854,SIERRA HEIGHTS RENO 7,1971,1971,Sgl Fam Res ,ONE,1420,FAIR,5,2,1,FA,HARDBOARD,COMP SHINGLE,GARA,441,Daylight,1368,20,SF6 ,0.156000003218651,,,,,,,,,,SIERRA HEIGHTS RENO 7 LT 22 BLK C,1005,1
001-301-01,,3145 KINGS ROW,2005-08-09 00:00:00,223000,2D,03258521,SIERRA HEIGHTS RENO 4,1964,1964,Sgl Fam Res ,SPLIT,1669,FAIR,3,3,0,FA,SIDING,COMP SHINGLE,GARA,277,,0,20,SF6 ,0.165000006556511,,,,,,,,,,SIERRA HEIGHTS RENO 4 LT 94 BLK 10,1005,1
001-301-03,,1340 RAYBURN DR,2005-01-19 00:00:00,223000,2D,03157784,SIERRA HEIGHTS RENO 4,1964,1964,Sgl Fam Res ,ONE,1296,FAIR,3,2,0,FA,BRICK VENEER,COMP SHINGLE,GARA,483,,0,20,SF6 ,0.187000006437302,,,,,,,,,,SIERRA HEIGHTS RENO 4 LT 92 BLK 10,1005,1
001-307-07,,3405 BOWIE RD,2005-04-29 00:00:00,335000,2D,03206530,SIERRA LOMA 3,1985,1985,Sgl Fam Res ,SPLIT,2104,FAIR,3,2,1,FA/AC,HARDBOARD,COMP SHINGLE,GARB,440,,0,20,SF6 ,0.193000003695488,,,,,,,,,,SIERRA LOMA 3 LT 117 BLK 3,1005,1
001-308-08,,3260 PIERREMONT RD,2005-01-20 00:00:00,267000,2D,03158993,SIERRA HEIGHTS RENO 4,1964,1964,Sgl Fam Res ,ONE,1296,FAIR,4,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,483,,0,20,SF6 ,0.13699999451637268,,,,,,,,,,SIERRA HEIGHTS RENO 4 LT 10 BLK 2,1005,1
001-309-18,,3440 BERTHOUD LN,2005-10-12 00:00:00,290000,2D,03291158,SIERRA HEIGHTS RENO 4,1964,1964,Sgl Fam Res ,ONE,1344,FAIR,3,2,0,FA,PLYWOOD,COMP SHINGLE,GARA,273,,0,20,SF6 ,0.13699999451637268,,,,,,,,,,SIERRA HEIGHTS RENO 4 LT 61 BLK 4,1005,1
001-309-21,,3370 BERTHOUD LN,2005-06-16 00:00:00,290000,2D,03231160,SIERRA HEIGHTS RENO 4,1964,1964,Sgl Fam Res ,ONE,1296,FAIR,4,2,0,FA/AC,SIDING,COMP SHINGLE,GARA,483,,0,20,SF6 ,0.13699999451637268,,,,,,,,,,SIERRA HEIGHTS RENO 4 LT 58 BLK 4,1005,1
001-314-05,,1273 MARNE DR,2005-09-23 00:00:00,267750,2D,03282093,SIERRA HEIGHTS RENO 3A,1964,1964,Sgl Fam Res ,ONE,1176,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,441,,0,20,SF6 ,0.158000007271767,,,,,,,,,,SIERRA HEIGHTS RENO 3A LT 103 BLK 5,1005,1
001-314-10,,3050 ACCACIA WAY,2005-03-23 00:00:00,260000,2D,03186973,SIERRA HEIGHTS RENO 3A,1964,1964,Sgl Fam Res ,ONE,1176,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,441,,0,20,SF6 ,0.13699999451637268,,,,,,,,,,SIERRA HEIGHTS RENO 3A LT 98 BLK 5,1005,1
001-320-04,,1272 LAREDO CT,2005-10-20 00:00:00,265000,2D,03295414,SIERRA LOMA 1,1973,1973,Townhse End,ONE,1175,FAIR/AVG,3,2,0,FA/AC,HARDBOARD,CONCRETE TIL,GARA,400,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 1 LT 4 BLK 1,1005,1
001-320-05,,1276 LAREDO CT,2005-03-11 00:00:00,234000,2D,03181851,SIERRA LOMA 1,1973,1973,Townhse End,ONE,1037,FAIR/AVG,2,2,0,FA/AC,HARDBOARD,CONCRETE TIL,GARA,440,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 1 LT 5 BLK 1,1005,1
001-320-09,,1250 CONWAY LN,2005-08-19 00:00:00,259000,2D,03264219,SIERRA LOMA 1,1973,1973,Townhse End,ONE,1175,FAIR/AVG,3,2,0,FA/AC,HARDBOARD,CONCRETE TIL,GARA,400,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 1 LT 9 BLK 1,1005,1
001-320-35,,1206 CONWAY LN,2005-05-23 00:00:00,234000,2D,03218435,SIERRA LOMA 1,1973,1973,Townhse End,ONE,1037,FAIR/AVG,2,2,0,FA,HARDBOARD,CONCRETE TIL,GARA,440,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 1 LT 35 BLK 1,1005,1
001-320-38,,1215 LAREDO CT,2005-08-25 00:00:00,242950,2D,03267723,SIERRA LOMA 1,1973,1973,Townhse End,ONE,1037,FAIR/AVG,2,2,0,FA/AC,HARDBOARD,CONCRETE TIL,GARA,440,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 1 LT 38 BLK 1,1005,1
001-320-39,,1211 LAREDO CT,2005-01-24 00:00:00,233000,2D,03160083,SIERRA LOMA 1,1973,1973,Townhse End,TWO,1343,FAIR/AVG,2,2,0,FA,HARDBOARD,CONCRETE TIL,GARA,440,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 1 LT 39 BLK 1,1005,1
001-320-43,,1220 LAREDO CT,2005-04-07 00:00:00,272500,2D,03195198,SIERRA LOMA 1,1973,1973,Townhse End,TWO,1343,FAIR/AVG,2,2,0,FA,HARDBOARD,CONCRETE TIL,GARA,440,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 1 LT 43 BLK 2,1005,1
001-330-05,,1185 WAGON WHEEL CIR,2005-05-06 00:00:00,205000,2D,03210477,SIERRA LOMA 2,1977,1977,Townhse End,ONE,1194,FAIR/AVG,3,2,0,FA/AC,HARDBOARD,CONCRETE TIL,GARA,400,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 2 LT 5 BLK 2,1005,1
001-330-05,,1185 WAGON WHEEL CIR,2005-09-29 00:00:00,235000,2D,03284753,SIERRA LOMA 2,1977,1977,Townhse End,ONE,1194,FAIR/AVG,3,2,0,FA/AC,HARDBOARD,CONCRETE TIL,GARA,400,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 2 LT 5 BLK 2,1005,1
001-330-06,,1183 WAGON WHEEL CIR,2005-05-16 00:00:00,233900,2D,03214634,SIERRA LOMA 2,1977,1977,Townhse End,ONE,1194,FAIR/AVG,3,2,0,FA/AC,HARDBOARD,CONCRETE TIL,GARA,400,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 2 LT 6 BLK 2,1005,1
001-330-08,,1179 WAGON WHEEL CIR,2005-10-18 00:00:00,290000,2D,03294019,SIERRA LOMA 2,1977,1977,Townhse End,TWO,1341,FAIR/AVG,2,2,0,FA/AC,HARDBOARD,CONCRETE TIL,GARA,420,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 2 LT 8 BLK 2,1005,1
001-330-10,,1175 WAGON WHEEL CIR,2005-11-21 00:00:00,239950,2D,03311047,SIERRA LOMA 2,1977,1977,Townhse End,ONE,1069,FAIR/AVG,2,2,0,FA,HARDBOARD,CONCRETE TIL,GARA,393,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 2 LT 10 BLK 2,1005,1
001-330-12,,1171 WAGON WHEEL CIR,2005-11-21 00:00:00,275000,2D,03311045,SIERRA LOMA 2,1977,1977,Townhse End,ONE,1194,FAIR/AVG,3,2,0,FA,HARDBOARD,CONCRETE TIL,GARA,400,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 2 LT 12 BLK 2,1005,1
001-330-44,,1105 FRONTIER ST,2005-11-17 00:00:00,245000,2D,03309414,SIERRA LOMA 2,1977,1977,Townhse End,ONE,1069,FAIR/AVG,2,2,0,FA,HARDBOARD,CONCRETE TIL,GARA,393,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 2 LT 44 BLK 3,1005,1
001-330-45,,1107 FRONTIER CT,2005-07-14 00:00:00,264900,2D,03244889,SIERRA LOMA 2,1977,1977,Townhse End,TWO,1341,FAIR/AVG,2,2,0,FA/AC,HARDBOARD,CONCRETE TIL,GARA,420,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 2 LT 45 BLK 3,1005,1
001-340-17,,1255 SEARCHLITE CT,2005-03-31 00:00:00,255000,2D,03191520,SIERRA LOMA 3,1977,1977,Townhse End,ONE,1338,FAIR/AVG,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,400,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 3 LT 17,1005,1
001-340-25,,1209 SEARCHLITE CT,2005-11-02 00:00:00,288500,2D,03301415,SIERRA LOMA 3,1977,1977,Townhse End,TWO,1457,FAIR/AVG,3,3,0,FA,HARDBOARD,COMP SHINGLE,GARA,420,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 3 LT 25,1005,1
001-340-34,,1230 SEARCHLITE CT,2005-04-27 00:00:00,259000,2D,03204502,SIERRA LOMA 3,1977,1977,Townhse End,TWO,1457,FAIR/AVG,3,3,0,FA,HARDBOARD,COMP SHINGLE,GARA,420,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 3 LT 34,1005,1
001-340-49,,1241 FREDDIE CT,2005-09-09 00:00:00,282500,2D,03275101,SIERRA LOMA 3,1977,1977,Townhse End,TWO,1457,FAIR/AVG,3,3,0,FA,HARDBOARD,COMP SHINGLE,GARA,420,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 3 LT 49,1005,1
001-340-68,,1214 FREDDIE CT,2005-01-19 00:00:00,205000,2D,03158240,SIERRA LOMA 3,1977,1977,Townhse End,ONE,1194,FAIR/AVG,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,400,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 3 LT 68,1005,1
001-340-75,,1160 FREDDIE CT,2005-10-07 00:00:00,272000,2D,03288562,SIERRA LOMA 3,1977,1977,Townhse End,ONE,1194,FAIR/AVG,3,2,0,FA/AC,HARDBOARD,COMP SHINGLE,GARA,400,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 3 LT 75,1005,1
001-340-77,,1140 FREDDIE CT,2005-06-15 00:00:00,259900,2D,03230379,SIERRA LOMA 3,1977,1977,Townhse End,TWO,1314,FAIR/AVG,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,420,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 3 LT 77,1005,1
001-340-79,,1279 RAYBURN DR,2005-01-25 00:00:00,222400,2D,03160678,SIERRA LOMA 3,1977,1977,Townhse End,TWO,1457,FAIR/AVG,3,3,0,FA,HARDBOARD,WOOD SHAKE,GARA,420,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 3 LT 79,1005,1
001-340-80,,1271 RAYBURN DR,2005-05-25 00:00:00,239000,2D,03219941,SIERRA LOMA 3,1977,1977,Townhse End,ONE,1194,FAIR/AVG,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,400,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 3 LT 80,1005,1
001-340-84,,1221 RAYBURN DR,2005-01-18 00:00:00,240000,2D,03157403,SIERRA LOMA 3,1977,1977,Townhse End,TWO,1314,FAIR/AVG,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,420,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 3 LT 84,1005,1
001-340-92,,1171 RAYBURN DR,2005-07-13 00:00:00,175873,2D,03244699,SIERRA LOMA 3,1977,1977,Townhse End,ONE,1194,FAIR/AVG,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,400,,0,21,SF6 ,0.00100000004749745,,,,,,,,,,SIERRA LOMA 3 LT 92,1005,1
001-352-03,,3090 SLATER AVE,2005-07-01 00:00:00,290000,2D,03240476,SIERRA HEIGHTS RENO 3A,1964,1964,Sgl Fam Res ,ONE,1296,FAIR,4,2,0,FA,SIDING,WOOD SHAKE,GARA,483,,0,20,SF6 ,0.165000006556511,,,,,,,,,,SIERRA HEIGHTS RENO 3A LT 50 BLK 3,1005,1
001-352-09,,3010 SLATER AVE,2005-11-22 00:00:00,294000,2D,03311482,SIERRA HEIGHTS RENO 3A,1964,1964,Sgl Fam Res ,ONE,1176,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,441,,0,20,SF6 ,0.165000006556511,,,,,,,,,,SIERRA HEIGHTS RENO 3A LT 44 BLK 3,1005,1
001-353-03,,2955 SLATER AVE,2005-03-23 00:00:00,291000,2D,03186983,SIERRA HEIGHTS RENO 3A,1964,1964,Sgl Fam Res ,ONE,1296,FAIR,4,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,483,,0,20,SF6 ,0.158000007271767,,,,,,,,,,SIERRA HEIGHTS RENO 3A LT 70 BLK 4,1005,1
001-361-04,,1180 KELLY DR,2005-05-11 00:00:00,301000,2D,03212473,SIERRA HEIGHTS RENO 3A,1964,1964,Sgl Fam Res ,SPLIT,1700,FAIR,4,3,0,FA,SIDING,COMP SHINGLE,GARA,246,,0,20,SF6 ,0.237000003457069,,,,,,,,,,SIERRA HEIGHTS RENO 3A LT 33 BLK 2,1005,1
001-362-02,,2435 APOLLO WAY,2005-07-29 00:00:00,280000,2D,03253894,SIERRA HEIGHTS RENO 3A,1964,1964,Sgl Fam Res ,ONE,1396,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,,0,,0,20,SF6 ,0.13699999451637268,,,,,,,,,,SIERRA HEIGHTS RENO 3A LT 2 BLK 1,1005,1
001-371-01,,,2005-12-30 00:00:00,250000,2D,NOT AVAILABLE,SIERRA HEIGHTS RENO 3E,1970,1970,Sgl Fam Res ,SPLIT,1830,FAIR,3,2,1,FA,ASPH SHINGLE,COMP SHINGLE,GARB,552,,0,20,SF6 ,0.175999999046326,,,,,,,,,,NOT AVAILABLE,1005,1
